Data,Time,Radiation,Temperature,Pressure,Humidity,Speed
9/29/2016 12:00:00 AM,23:55:26,1.21,48,30.46,59,5.62
9/29/2016 12:00:00 AM,23:50:23,1.21,48,30.46,58,3.37
9/29/2016 12:00:00 AM,23:45:26,1.23,48,30.46,57,3.37
9/29/2016 12:00:00 AM,23:40:21,1.21,48,30.46,60,3.37
9/29/2016 12:00:00 AM,23:35:24,1.17,48,30.46,62,5.62
9/29/2016 12:00:00 AM,23:30:24,1.21,48,30.46,64,5.62
9/29/2016 12:00:00 AM,23:25:19,1.2,49,30.46,72,6.75
9/29/2016 12:00:00 AM,23:20:22,1.24,49,30.46,71,5.62
9/29/2016 12:00:00 AM,23:15:22,1.23,49,30.46,80,4.5
9/29/2016 12:00:00 AM,23:10:22,1.21,49,30.46,85,4.5
9/29/2016 12:00:00 AM,23:05:23,1.23,49,30.47,93,2.25
9/29/2016 12:00:00 AM,23:00:25,1.21,49,30.47,98,3.37
9/29/2016 12:00:00 AM,22:55:20,1.22,49,30.47,99,6.75
9/29/2016 12:00:00 AM,22:50:19,1.21,50,30.47,99,2.25
9/29/2016 12:00:00 AM,22:45:31,1.23,50,30.47,99,5.62
9/29/2016 12:00:00 AM,22:40:23,1.22,50,30.47,99,4.5
9/29/2016 12:00:00 AM,22:35:19,1.21,50,30.47,99,10.12
9/29/2016 12:00:00 AM,22:30:22,1.22,50,30.47,99,6.75
9/29/2016 12:00:00 AM,22:25:19,1.22,50,30.47,98,6.75
9/29/2016 12:00:00 AM,22:20:22,1.2,50,30.47,98,6.75
9/29/2016 12:00:00 AM,22:15:22,1.2,50,30.47,98,2.25
9/29/2016 12:00:00 AM,22:10:21,1.2,50,30.47,97,5.62
9/29/2016 12:00:00 AM,22:05:20,1.21,50,30.47,97,4.5
9/29/2016 12:00:00 AM,22:00:26,1.22,50,30.47,97,5.62
9/29/2016 12:00:00 AM,21:55:20,1.22,50,30.47,96,5.62
9/29/2016 12:00:00 AM,21:50:32,1.22,50,30.47,96,6.75
9/29/2016 12:00:00 AM,21:45:28,1.24,50,30.47,95,7.87
9/29/2016 12:00:00 AM,21:40:20,1.23,50,30.47,95,6.75
9/29/2016 12:00:00 AM,21:35:21,1.23,50,30.47,95,7.87
9/29/2016 12:00:00 AM,21:30:21,1.23,50,30.47,95,6.75
